#ANO;ESTADO;MUNICIPIO;ESFERA_GOVERNO;MODALIDADE_ENSINO;VALOR_TOTAL_ESCOLAS_PNAE
"2012";"AL";"BARRA DE SANTO ANTONIO";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";27000,00
"2012";"AL";"BARRA DE SANTO ANTONIO";"MUNICIPAL";"PRÉ-ESCOLA";24024,00
"2012";"AL";"BARRA DE SAO MIGUEL";"MUNICIPAL";"CRECHE";24192,00
"2012";"AL";"BARRA DE SAO MIGUEL";"MUNICIPAL";"EJA";9540,00
"2012";"AL";"BARRA DE SAO MIGUEL";"MUNICIPAL";"ENSINO FUNDAMENTAL";85620,00
"2012";"AL";"BARRA DE SAO MIGUEL";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";38940,00
"2012";"AL";"BARRA DE SAO MIGUEL";"MUNICIPAL";"PRÉ-ESCOLA";18564,00
"2012";"AL";"BATALHA";"MUNICIPAL";"CRECHE";55944,00
"2012";"AL";"BATALHA";"MUNICIPAL";"EJA";73680,00
"2012";"AL";"BATALHA";"MUNICIPAL";"ENSINO FUNDAMENTAL";138780,00
"2012";"AL";"BATALHA";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";6000,00
"2012";"AL";"BATALHA";"MUNICIPAL";"PRÉ-ESCOLA";36876,00
"2012";"AL";"BELEM";"MUNICIPAL";"CRECHE";4704,00
"2012";"AL";"BELEM";"MUNICIPAL";"EJA";43680,00
"2012";"AL";"BELEM";"MUNICIPAL";"ENSINO FUNDAMENTAL";55320,00
"2012";"AL";"BELEM";"MUNICIPAL";"ENSINO MÉDIO";1080,00
"2012";"AL";"BELEM";"MUNICIPAL";"PRÉ-ESCOLA";14448,00
"2012";"AL";"BELO MONTE";"MUNICIPAL";"CRECHE";23520,00
"2012";"AL";"BELO MONTE";"MUNICIPAL";"EJA";19980,00
"2012";"AL";"BELO MONTE";"MUNICIPAL";"ENSINO FUNDAMENTAL";99540,00
"2012";"AL";"BELO MONTE";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";52020,00
"2012";"AL";"BELO MONTE";"MUNICIPAL";"PRÉ-ESCOLA";17052,00
"2012";"AL";"BOCA DA MATA";"MUNICIPAL";"CRECHE";33432,00
"2012";"AL";"BOCA DA MATA";"MUNICIPAL";"EJA";12480,00
"2012";"AL";"BOCA DA MATA";"MUNICIPAL";"ENSINO FUNDAMENTAL";330900,00
"2012";"AL";"BOCA DA MATA";"MUNICIPAL";"ENSINO MÉDIO";15780,00
"2012";"AL";"BOCA DA MATA";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";113100,00
"2012";"AL";"BOCA DA MATA";"MUNICIPAL";"PRÉ-ESCOLA";59724,00
"2012";"AL";"BRANQUINHA";"MUNICIPAL";"CRECHE";41160,00
"2012";"AL";"BRANQUINHA";"MUNICIPAL";"EJA";15000,00
"2012";"AL";"BRANQUINHA";"MUNICIPAL";"ENSINO FUNDAMENTAL";148080,00
"2012";"AL";"BRANQUINHA";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";35700,00
"2012";"AL";"BRANQUINHA";"MUNICIPAL";"PRÉ-ESCOLA";39144,00
"2012";"AL";"CACIMBINHAS";"MUNICIPAL";"CRECHE";27552,00
"2012";"AL";"CACIMBINHAS";"MUNICIPAL";"EJA";15660,00
"2012";"AL";"CACIMBINHAS";"MUNICIPAL";"ENSINO FUNDAMENTAL";113280,00
"2012";"AL";"CACIMBINHAS";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";7680,00
"2012";"AL";"CACIMBINHAS";"MUNICIPAL";"PRÉ-ESCOLA";25620,00
"2012";"AL";"CACIMBINHAS";"MUNICIPAL";"QUILOMBOLA";11760,00
"2012";"AL";"CAJUEIRO";"MUNICIPAL";"CRECHE";64512,00
"2012";"AL";"CAJUEIRO";"MUNICIPAL";"EJA";10980,00
"2012";"AL";"CAJUEIRO";"MUNICIPAL";"ENSINO FUNDAMENTAL";268020,00
"2012";"AL";"CAJUEIRO";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";231180,00
"2012";"AL";"CAJUEIRO";"MUNICIPAL";"PRÉ-ESCOLA";66276,00
"2012";"AL";"CAMPESTRE";"MUNICIPAL";"CRECHE";24864,00
"2012";"AL";"CAMPESTRE";"MUNICIPAL";"EJA";22320,00
"2012";"AL";"CAMPESTRE";"MUNICIPAL";"ENSINO FUNDAMENTAL";83940,00
"2012";"AL";"CAMPESTRE";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";6000,00
"2012";"AL";"CAMPESTRE";"MUNICIPAL";"PRÉ-ESCOLA";17640,00
"2012";"AL";"CAMPO ALEGRE";"MUNICIPAL";"CRECHE";27216,00
"2012";"AL";"CAMPO ALEGRE";"MUNICIPAL";"EJA";22920,00
"2012";"AL";"CAMPO ALEGRE";"MUNICIPAL";"ENSINO FUNDAMENTAL";456240,00
"2012";"AL";"CAMPO ALEGRE";"MUNICIPAL";"PRÉ-ESCOLA";79296,00
"2012";"AL";"CAMPO GRANDE";"MUNICIPAL";"EJA";45660,00
"2012";"AL";"CAMPO GRANDE";"MUNICIPAL";"ENSINO FUNDAMENTAL";153480,00
"2012";"AL";"CAMPO GRANDE";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";48840,00
"2012";"AL";"CAMPO GRANDE";"MUNICIPAL";"PRÉ-ESCOLA";26124,00
"2012";"AL";"CANAPI";"MUNICIPAL";"CRECHE";62328,00
"2012";"AL";"CANAPI";"MUNICIPAL";"EJA";16440,00
"2012";"AL";"CANAPI";"MUNICIPAL";"ENSINO FUNDAMENTAL";242760,00
"2012";"AL";"CANAPI";"MUNICIPAL";"PRÉ-ESCOLA";47292,00
"2012";"AL";"CANAPI";"MUNICIPAL";"QUILOMBOLA";24840,00
"2012";"AL";"CAPELA";"MUNICIPAL";"CRECHE";57456,00
"2012";"AL";"CAPELA";"MUNICIPAL";"EJA";24600,00
"2012";"AL";"CAPELA";"MUNICIPAL";"ENSINO FUNDAMENTAL";231660,00
"2012";"AL";"CAPELA";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";69000,00
"2012";"AL";"CAPELA";"MUNICIPAL";"PRÉ-ESCOLA";44688,00
"2012";"AL";"CARNEIROS";"MUNICIPAL";"EJA";13260,00
"2012";"AL";"CARNEIROS";"MUNICIPAL";"ENSINO FUNDAMENTAL";124560,00
"2012";"AL";"CARNEIROS";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";6000,00
"2012";"AL";"CARNEIROS";"MUNICIPAL";"PRÉ-ESCOLA";28980,00
"2012";"AL";"CHA PRETA";"MUNICIPAL";"CRECHE";10752,00
"2012";"AL";"CHA PRETA";"MUNICIPAL";"EJA";13080,00
"2012";"AL";"CHA PRETA";"MUNICIPAL";"ENSINO FUNDAMENTAL";89220,00
"2012";"AL";"CHA PRETA";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";9840,00
"2012";"AL";"CHA PRETA";"MUNICIPAL";"PRÉ-ESCOLA";24612,00
"2012";"AL";"COITE DO NOIA";"MUNICIPAL";"CRECHE";14784,00
"2012";"AL";"COITE DO NOIA";"MUNICIPAL";"EJA";17640,00
"2012";"AL";"COITE DO NOIA";"MUNICIPAL";"ENSINO FUNDAMENTAL";134880,00
